FIELD1,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Point_Based_Result,Decision_Tree_Result
148,28,male,2,own,little,little,5371,36,furniture/equipment,good,False,True
149,46,male,2,own,rich,NA,1582,18,radio/TV,good,True,True
150,42,male,2,free,moderate,NA,1346,6,radio/TV,good,True,True
151,38,male,2,own,little,NA,1924,10,radio/TV,good,True,True
152,24,male,2,own,little,rich,5848,36,radio/TV,good,False,True
153,29,female,2,rent,rich,moderate,7758,24,car,good,False,True
154,36,male,3,rent,moderate,moderate,6967,24,business,good,False,True
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,False,False
156,48,male,2,own,moderate,little,1288,9,repairs,good,True,True
157,45,male,1,own,little,little,339,12,education,good,True,True
158,38,male,2,own,moderate,moderate,3512,24,car,good,True,True
159,34,male,1,own,NA,NA,1898,6,radio/TV,good,True,True
160,36,male,2,own,moderate,NA,2872,24,radio/TV,good,True,True
161,30,female,2,own,little,NA,1055,18,car,good,True,True
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances,good,True,True
163,70,male,3,free,little,moderate,7308,10,car,good,True,True
164,36,male,2,own,quite rich,NA,909,36,car,good,False,True
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good,True,True
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,False,False
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,True,True
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,good,False,True
169,31,male,2,own,little,moderate,1935,24,business,bad,False,False
170,33,male,2,rent,little,little,950,15,car,bad,False,False
171,26,female,2,own,little,NA,763,12,furniture/equipment,good,True,True
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,False,False
173,33,male,2,own,little,moderate,1414,8,radio/TV,good,True,True
174,26,male,2,own,little,little,3414,21,education,bad,False,False
175,53,female,3,own,NA,NA,7485,30,car,bad,False,False
176,42,male,2,own,little,little,2577,12,furniture/equipment,good,True,True
177,52,male,2,own,quite rich,little,338,6,radio/TV,good,True,True
178,31,male,3,rent,little,NA,1963,12,radio/TV,good,True,True
179,65,male,2,own,little,little,571,21,car,good,True,True
180,28,male,2,own,little,NA,9572,36,business,bad,False,False
181,30,male,3,own,little,moderate,4455,36,business,bad,False,False
182,40,male,1,own,NA,little,1647,21,car,bad,False,False
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,good,True,True
184,36,male,2,own,little,moderate,884,18,car,bad,False,False
185,31,male,2,own,little,NA,1360,15,radio/TV,good,True,True
186,74,female,3,free,little,moderate,5129,9,car,bad,False,False
187,68,male,0,free,little,moderate,1175,16,car,good,True,True
188,20,male,2,own,moderate,little,674,12,radio/TV,bad,False,True
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,True,True
190,54,male,3,own,rich,NA,4591,24,business,bad,False,True
191,34,male,1,free,moderate,moderate,3844,48,business,bad,False,True
192,36,male,2,own,little,moderate,3915,27,business,bad,False,False
193,29,male,2,rent,little,NA,2108,6,radio/TV,good,True,True
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,False,True
195,34,female,3,own,little,moderate,1501,9,education,bad,False,False
196,28,female,2,own,little,NA,1382,6,radio/TV,good,True,True
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,False,True
198,36,male,2,free,NA,moderate,2760,24,car,good,False,True
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,False,False
200,52,male,2,own,quite rich,NA,936,9,education,good,True,True
201,27,male,1,own,little,little,1168,12,car,good,True,True
202,26,male,2,own,little,NA,5117,27,business,good,False,True
203,21,male,2,rent,little,little,902,12,education,bad,False,False
204,38,male,1,own,little,NA,1495,12,car,good,True,True
205,38,male,3,free,little,little,10623,30,car,good,False,False
206,43,male,2,own,little,NA,1935,12,furniture/equipment,good,True,True
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,True,True
208,21,male,1,own,little,little,6568,24,business,good,False,True
209,55,male,2,own,rich,NA,1413,12,car,good,True,True
210,33,male,2,own,NA,NA,3074,9,radio/TV,good,True,True
211,45,female,1,own,NA,NA,3835,36,radio/TV,good,True,True
212,50,male,2,own,little,little,5293,27,business,bad,False,False
213,66,male,3,own,little,rich,1908,30,business,bad,False,False
214,51,male,2,own,NA,NA,3342,36,radio/TV,good,True,True
215,39,female,1,own,NA,moderate,932,6,education,good,True,True
216,31,male,2,own,little,little,3104,18,business,good,True,True
217,23,male,2,own,little,rich,3913,36,radio/TV,good,False,True
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,False,True
219,64,female,2,own,little,NA,1364,10,car,good,True,True
220,26,male,1,own,little,moderate,625,12,radio/TV,good,True,True
221,23,female,2,rent,NA,little,1200,12,education,good,True,True
222,30,male,2,own,little,NA,707,12,radio/TV,good,True,True
223,32,male,2,own,NA,NA,2978,24,business,good,False,True
224,30,male,2,own,little,NA,4657,15,car,good,True,True
225,27,male,2,own,little,NA,2613,36,repairs,good,False,True
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,False,True
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,False,False
228,22,male,2,own,little,NA,1478,9,radio/TV,bad,False,False
229,22,male,2,free,little,little,3149,24,furniture/equipment,good,False,True
230,26,male,2,own,little,rich,4210,36,radio/TV,bad,False,False
231,51,male,1,free,quite rich,NA,2507,9,car,good,True,True
232,35,male,2,own,moderate,NA,2141,12,radio/TV,good,True,True
233,25,male,1,own,little,moderate,866,18,radio/TV,good,True,True
234,42,male,1,own,little,NA,1544,4,radio/TV,good,True,True
235,30,male,3,own,little,little,1823,24,radio/TV,bad,False,False
236,23,male,0,own,NA,moderate,14555,6,car,bad,False,False
237,61,male,1,rent,moderate,moderate,2767,21,business,bad,False,True
238,35,female,2,own,little,NA,1291,12,radio/TV,good,True,True
239,39,male,2,own,little,little,2522,30,radio/TV,good,False,True
240,29,female,2,own,NA,little,915,24,car,bad,False,False
241,51,male,2,own,little,NA,1595,6,radio/TV,good,True,True
242,24,male,2,free,little,little,4605,48,car,bad,False,False
243,27,female,2,own,little,NA,1185,12,business,good,True,True
244,35,female,1,own,quite rich,NA,3447,12,education,good,True,True
245,25,male,2,own,little,NA,1258,24,business,good,False,True
246,52,male,2,own,little,NA,717,12,radio/TV,good,True,True
247,35,male,2,rent,moderate,NA,1204,6,car,good,True,True
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,False,True
249,22,female,2,rent,little,NA,433,18,radio/TV,bad,False,False
250,39,female,1,own,rich,little,666,6,car,good,True,True
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,True,True
252,24,female,2,own,little,moderate,2150,30,car,bad,False,False
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,good,True,True
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,good,True,True
255,27,male,1,own,NA,moderate,7418,60,radio/TV,good,False,False
256,35,male,1,own,little,NA,2684,24,radio/TV,good,False,True
257,29,male,2,free,little,little,2149,12,radio/TV,bad,False,False
258,23,female,2,own,moderate,NA,3812,15,car,good,True,True
259,57,female,1,own,moderate,NA,1154,11,radio/TV,good,True,True
260,27,male,2,own,little,little,1657,12,furniture/equipment,good,True,True
261,55,female,2,own,little,little,1603,24,radio/TV,good,True,True
262,36,male,3,free,little,little,5302,18,car,good,True,True
263,57,female,1,free,little,NA,2748,12,education,good,True,True
264,32,male,1,own,little,NA,1231,10,car,good,True,True
265,37,male,2,own,little,moderate,802,15,radio/TV,bad,False,False
266,36,male,2,own,NA,NA,6304,36,business,good,False,True
267,38,female,2,own,little,NA,1533,24,radio/TV,good,False,True
268,45,male,3,own,little,little,8978,14,car,bad,False,False
269,25,male,2,own,NA,NA,999,24,radio/TV,good,False,True
270,32,male,2,own,NA,NA,2662,18,car,good,True,True
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,good,True,True
272,36,male,3,free,NA,moderate,12169,48,car,good,False,False
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,False,False
274,34,male,1,own,little,little,11998,30,repairs,bad,False,False
275,32,male,2,own,little,NA,2697,9,radio/TV,good,True,True
276,26,female,2,own,little,NA,2404,18,radio/TV,good,True,True
277,49,male,1,own,NA,little,1262,12,furniture/equipment,good,True,True
278,32,female,2,own,little,NA,4611,6,furniture/equipment,bad,False,False
279,29,male,3,rent,moderate,NA,1901,24,radio/TV,good,True,True
280,23,male,2,rent,rich,NA,3368,15,car,good,True,True
281,50,male,2,own,little,NA,1574,12,furniture/equipment,good,True,True
282,49,male,1,own,NA,rich,1445,18,radio/TV,good,True,True
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,good,True,True
284,37,male,2,own,moderate,moderate,3878,24,car,good,True,True
285,35,female,1,own,little,little,10722,47,car,good,False,False
286,26,male,2,own,little,little,4788,48,car,good,False,True
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good,False,False
288,49,female,2,own,little,moderate,1092,12,radio/TV,good,True,True
289,48,male,2,own,little,little,1024,24,radio/TV,bad,False,False
290,26,male,2,own,little,NA,1076,12,business,good,True,True
291,28,male,3,rent,little,moderate,9398,36,car,bad,False,False
292,44,female,3,free,little,little,6419,24,car,good,False,True
293,56,male,2,free,little,rich,4796,42,car,good,True,True
294,46,male,3,own,NA,NA,7629,48,business,good,False,False
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,False,False
296,20,female,2,rent,NA,NA,4675,12,car,good,False,True
297,45,male,1,own,NA,NA,1287,10,car,good,True,True
298,43,male,2,own,little,NA,2515,18,furniture/equipment,good,True,True
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,True,True
300,54,female,0,own,little,NA,672,6,car,good,True,True
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad,False,False
302,37,male,1,own,NA,rich,1344,24,car,bad,False,False
303,49,male,2,own,little,little,1038,10,car,good,True,True
304,44,male,2,free,quite rich,NA,10127,48,car,bad,False,False
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,good,True,True
306,24,female,1,rent,NA,NA,4811,30,car,good,False,True
307,33,male,1,own,moderate,little,727,12,radio/TV,bad,False,True
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,False,False
309,22,male,1,rent,little,moderate,276,9,car,good,True,True
310,40,male,0,free,NA,moderate,5381,48,vacation/others,good,False,True
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,good,False,True
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,False,True
313,25,male,1,own,little,moderate,685,12,car,bad,False,False
314,29,male,1,own,NA,rich,1494,4,car,good,True,True
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,False,False
316,38,male,1,own,little,little,708,12,furniture/equipment,good,True,True
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,good,True,True
318,32,male,2,own,little,NA,701,12,education,good,True,True
319,27,female,1,own,little,little,3643,15,furniture/equipment,good,True,True
320,28,male,3,own,little,moderate,4249,30,car,bad,False,False
321,32,male,2,own,little,little,1938,24,radio/TV,bad,False,False
322,34,male,3,free,little,little,2910,24,car,good,False,True
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good,True,True
324,36,female,2,own,little,NA,1028,18,car,good,True,True
325,39,male,1,own,little,little,3398,8,car,good,True,True
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,good,True,True
327,34,female,2,own,rich,NA,1525,24,car,good,True,True
328,31,male,2,own,little,rich,4473,36,radio/TV,good,False,True
329,28,male,2,own,little,moderate,1068,6,radio/TV,good,True,True
330,75,male,3,free,little,little,6615,24,car,good,False,True
331,30,female,2,own,moderate,NA,1864,18,education,bad,False,True
332,24,female,3,own,moderate,moderate,7408,60,car,bad,False,True
333,24,female,1,rent,moderate,NA,11590,48,car,bad,False,True
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad,False,False
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad,False,False
336,23,female,1,own,little,moderate,2101,13,radio/TV,good,True,True
337,24,female,2,rent,NA,little,1275,15,domestic appliances,bad,False,False
338,28,male,2,own,little,little,4169,24,furniture/equipment,good,False,True
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good,True,True
340,24,female,2,free,little,moderate,5743,24,education,good,False,True
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good,True,True
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,False,True
343,33,male,3,own,little,moderate,4439,18,business,good,True,True
344,37,male,1,own,little,rich,3949,10,car,good,True,True
345,43,female,1,own,little,NA,1459,15,radio/TV,good,True,True
346,23,male,2,own,little,moderate,882,13,radio/TV,good,True,True
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,False,True
348,34,male,1,own,moderate,NA,1743,6,business,good,True,True
349,32,male,2,free,rich,moderate,1136,9,education,bad,False,True
350,23,female,2,rent,little,NA,1236,9,domestic appliances,good,True,True
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,False,False
352,38,male,3,own,NA,NA,3229,18,car,good,True,True
353,28,male,2,rent,little,little,6199,12,radio/TV,bad,False,False
354,46,male,2,free,quite rich,NA,727,10,education,good,True,True
355,23,male,1,own,little,moderate,1246,24,car,bad,False,False
356,49,male,2,own,NA,NA,2331,12,radio/TV,good,True,True
357,26,male,3,own,little,NA,4463,36,radio/TV,bad,False,False
358,28,male,2,own,little,NA,776,12,radio/TV,good,True,True
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad,False,False
360,61,male,2,free,NA,moderate,1239,18,education,good,True,True
361,37,male,3,own,NA,rich,3399,12,radio/TV,good,True,True
362,36,female,2,own,little,rich,2247,12,car,good,True,True
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,good,True,True
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,False,False
365,36,male,2,own,little,NA,1542,12,business,good,True,True
366,27,male,2,own,little,NA,3850,18,car,good,True,True
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,False,True
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad,False,False
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,True,True
370,36,male,2,own,NA,NA,3079,36,car,good,False,True
371,33,male,2,own,little,NA,6070,18,radio/TV,good,False,True
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,good,True,True
373,63,male,3,free,NA,NA,13756,60,car,good,False,False
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,False,True
375,37,female,2,rent,little,little,7685,48,business,bad,False,False
376,34,male,2,own,little,NA,2320,18,radio/TV,good,True,True
377,36,male,2,free,NA,NA,846,7,radio/TV,good,True,True
378,57,male,3,free,little,moderate,14318,36,car,bad,False,False
379,52,female,1,own,moderate,NA,362,6,car,good,True,True
380,39,male,2,own,NA,little,2212,20,furniture/equipment,good,True,True
381,38,female,3,free,little,moderate,12976,18,car,bad,False,False
382,25,female,2,rent,NA,NA,1283,22,car,good,True,True
383,26,male,2,own,little,rich,1330,12,car,good,True,True
384,26,male,1,own,moderate,NA,4272,30,business,good,True,True
385,25,female,2,own,little,NA,2238,18,radio/TV,good,True,True
386,21,female,2,rent,NA,NA,1126,18,radio/TV,good,True,True
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good,False,True
388,27,male,2,own,quite rich,moderate,2326,15,business,good,True,True
389,27,female,2,own,little,NA,1449,9,business,good,True,True
390,30,male,3,own,little,NA,1820,18,car,good,True,True
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,True,True
392,39,male,3,free,little,little,3249,36,car,good,False,True
393,31,female,2,own,little,little,1957,6,radio/TV,good,True,True
394,31,male,3,own,little,NA,2406,9,furniture/equipment,good,True,True
395,32,male,2,rent,moderate,moderate,11760,39,education,good,False,False
396,55,female,3,free,little,little,2578,12,furniture/equipment,good,True,True
397,46,male,2,own,little,little,2348,36,furniture/equipment,good,True,True
398,46,male,2,rent,little,moderate,1223,12,car,bad,False,False
399,43,female,1,own,rich,NA,1516,24,radio/TV,good,True,True
400,39,male,2,own,little,NA,1473,18,radio/TV,good,True,True
401,28,male,2,own,NA,moderate,1887,18,business,good,True,True
402,27,male,2,own,little,NA,8648,24,business,bad,False,False
403,27,male,1,own,little,NA,802,14,car,good,True,True
404,43,male,2,own,NA,moderate,2899,18,car,good,True,True
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad,False,False
406,43,male,2,own,NA,NA,2197,24,car,good,True,True
407,27,male,2,own,little,little,1053,15,radio/TV,good,True,True
408,26,male,3,own,quite rich,NA,3235,24,radio/TV,good,False,True
409,28,male,2,own,quite rich,rich,939,12,car,bad,False,False
410,20,female,2,own,little,moderate,1967,24,radio/TV,good,False,True
411,35,male,3,own,little,NA,7253,33,car,good,False,False
412,42,male,3,own,little,NA,2292,12,business,bad,False,False
413,40,male,1,rent,quite rich,NA,1597,10,car,good,True,True
414,35,female,2,own,NA,little,1381,24,car,bad,False,False
415,35,male,2,own,little,NA,5842,36,car,good,False,True
416,33,male,1,own,little,little,2579,12,car,bad,False,False
417,23,female,2,rent,NA,little,8471,18,education,good,False,True
418,31,female,3,own,quite rich,NA,2782,21,car,good,True,True
419,33,female,2,own,NA,moderate,1042,18,car,bad,False,False
420,20,female,2,rent,rich,NA,3186,15,car,good,True,True
421,30,male,2,own,NA,moderate,2028,12,car,good,True,True
422,47,male,1,own,little,moderate,958,12,car,good,True,True
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment,good,True,True
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,bad,False,False
425,21,male,2,rent,little,moderate,2779,18,car,good,True,True
426,29,male,2,own,little,NA,2743,28,radio/TV,good,False,True
427,46,male,2,own,rich,NA,1149,18,radio/TV,good,True,True
428,20,male,2,own,little,NA,1313,9,furniture/equipment,good,True,True
429,55,female,0,free,little,little,1190,18,repairs,bad,False,False
430,74,male,1,own,little,NA,3448,5,business,good,True,True
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad,False,False
432,36,male,3,free,little,little,1872,6,furniture/equipment,good,True,True
433,33,male,2,own,little,NA,2058,24,repairs,good,False,True
434,25,male,2,own,little,little,2136,9,furniture/equipment,good,True,True
435,25,male,2,own,NA,moderate,1484,12,radio/TV,bad,False,False
436,23,male,1,rent,quite rich,NA,660,6,repairs,good,True,True
437,37,female,2,own,rich,NA,1287,24,car,good,True,True
438,65,male,0,own,little,little,3394,42,repairs,good,True,True
439,26,female,0,own,little,rich,609,12,business,bad,False,False
